date,Durable good,overlap,consumer,goods,company,Industry,fast moving consumer goods,loan,Sales,Product,Market
2017-01-17,0.0,1.0,48.0,15.0,56.0,35.0,0.0,77.0,73.0,75.0,54.0
2017-01-18,0.0,1.0,36.0,18.0,60.0,33.0,0.0,82.0,61.0,77.0,58.0
2017-01-19,0.0,1.0,41.0,22.0,60.0,36.0,0.0,72.0,65.0,84.0,57.0
2017-01-20,0.0,1.0,47.0,22.0,55.0,38.0,0.0,71.0,71.0,79.0,56.0
2017-01-21,0.0,1.0,29.0,16.0,52.0,31.0,0.0,56.0,58.0,66.0,48.0
2017-01-22,0.0,1.0,33.0,18.0,43.0,32.0,0.0,51.0,41.0,66.0,41.0
2017-01-23,0.0,1.0,43.0,17.0,59.0,38.0,0.0,75.0,76.0,80.0,55.0
2017-01-24,0.0,1.0,48.0,20.0,63.0,33.0,22.0,81.0,62.0,72.0,57.0
2017-01-25,0.0,1.0,39.0,15.0,52.0,37.0,0.0,66.0,60.0,75.0,57.0
2017-01-26,0.0,1.0,30.0,11.0,43.0,31.0,45.0,51.0,41.0,61.0,47.0
2017-01-27,0.0,1.0,37.0,23.0,57.0,33.0,0.0,81.0,63.0,87.0,58.0
2017-01-28,0.0,1.0,29.0,17.0,51.0,29.0,0.0,62.0,56.0,78.0,47.0
2017-01-29,0.0,1.0,31.0,14.0,40.0,25.0,0.0,53.0,49.0,66.0,47.0
2017-01-30,0.0,1.0,43.0,17.0,59.0,40.0,23.0,77.0,60.0,72.0,60.0
2017-01-31,0.0,1.0,44.0,14.0,57.0,37.0,0.0,78.0,68.0,84.0,59.0
2017-02-01,0.0,1.0,39.0,18.0,57.0,36.0,0.0,86.0,59.0,77.0,62.0
2017-02-02,0.0,1.0,50.0,17.0,56.0,40.0,0.0,81.0,63.0,72.0,59.0
2017-02-03,0.0,1.0,36.0,24.0,57.0,33.0,0.0,66.0,58.0,87.0,61.0
2017-02-04,0.0,1.0,22.0,21.0,49.0,26.0,45.0,67.0,42.0,71.0,49.0
2017-02-05,0.0,1.0,37.0,15.0,44.0,30.0,0.0,56.0,38.0,69.0,47.0
2017-02-06,0.0,1.0,33.0,19.0,65.0,38.0,0.0,83.0,56.0,85.0,64.0
2017-02-07,0.0,1.0,56.0,18.0,62.0,35.0,0.0,79.0,64.0,76.0,61.0
2017-02-08,0.0,1.0,49.0,20.0,56.0,36.0,0.0,82.0,70.0,79.0,59.0
2017-02-09,0.0,1.0,41.0,20.0,59.0,35.0,22.0,67.0,52.0,88.0,55.0
2017-02-10,0.0,1.0,37.0,21.0,57.0,31.0,0.0,67.0,61.0,71.0,58.0
2017-02-11,0.0,1.0,29.0,13.0,46.0,26.0,0.0,60.0,45.0,69.0,46.0
2017-02-12,0.0,1.0,31.0,17.0,43.0,34.0,0.0,52.0,33.0,60.0,46.0
2017-02-13,0.0,1.0,46.0,11.0,59.0,37.0,0.0,81.0,69.0,69.0,56.0
2017-02-14,0.0,1.0,34.0,22.0,59.0,36.0,0.0,76.0,60.0,73.0,53.0
2017-02-15,0.0,1.0,43.0,20.0,58.0,37.0,0.0,76.0,65.0,85.0,60.0
2017-02-16,0.0,1.0,41.0,17.0,65.0,38.0,0.0,76.0,63.0,86.0,62.0
2017-02-17,0.0,1.0,30.0,24.0,60.0,34.0,0.0,76.0,59.0,75.0,64.0
2017-02-18,0.0,1.0,33.0,14.0,51.0,28.0,0.0,67.0,45.0,64.0,45.0
2017-02-19,0.0,1.0,29.0,16.0,46.0,28.0,23.0,54.0,39.0,76.0,46.0
2017-02-20,0.0,1.0,46.0,19.0,63.0,41.0,0.0,73.0,61.0,72.0,58.0
2017-02-21,0.0,1.0,48.0,20.0,61.0,36.0,43.0,76.0,72.0,89.0,62.0
2017-02-22,0.0,1.0,38.0,19.0,62.0,41.0,0.0,74.0,65.0,86.0,60.0
2017-02-23,0.0,1.0,39.0,27.0,56.0,34.0,0.0,67.0,72.0,81.0,58.0
2017-02-24,0.0,1.0,36.0,13.0,56.0,30.0,0.0,56.0,59.0,71.0,59.0
2017-02-25,0.0,1.0,28.0,14.0,49.0,32.0,0.0,61.0,51.0,74.0,48.0
2017-02-26,0.0,1.0,29.0,15.0,44.0,35.0,0.0,55.0,36.0,78.0,51.0
2017-02-27,0.0,1.0,45.0,20.0,64.0,35.0,0.0,79.0,74.0,81.0,61.0
2017-02-28,0.0,1.0,37.0,15.0,66.0,44.0,0.0,69.0,67.0,71.0,63.0
2017-03-01,0.0,1.0,52.0,21.0,65.0,37.0,0.0,73.0,71.0,75.0,62.0
2017-03-02,0.0,1.0,53.0,17.0,65.0,37.0,0.0,76.0,70.0,87.0,61.0
2017-03-03,0.0,1.0,39.0,15.0,59.0,33.0,0.0,68.0,59.0,85.0,59.0
2017-03-04,0.0,1.0,29.0,18.0,53.0,23.0,0.0,63.0,53.0,73.0,50.0
2017-03-05,0.0,1.0,29.0,16.0,44.0,34.0,0.0,52.0,43.0,68.0,50.0
2017-03-06,0.0,1.0,45.0,17.0,62.0,34.0,0.0,79.0,59.0,76.0,65.0
2017-03-07,0.0,1.0,46.0,17.0,59.0,41.0,0.0,77.0,68.0,71.0,62.0
2017-03-08,0.0,1.0,43.0,22.0,60.0,32.0,0.0,69.0,67.0,81.0,60.0
2017-03-09,0.0,1.0,41.0,21.0,63.0,36.0,0.0,66.0,60.0,78.0,56.0
2017-03-10,0.0,1.0,44.0,22.0,58.0,31.0,0.0,67.0,59.0,73.0,60.0
2017-03-11,0.0,1.0,30.0,13.0,36.0,24.0,0.0,43.0,39.0,62.0,40.0
2017-03-12,0.0,1.0,28.0,13.0,37.0,23.0,0.0,48.0,42.0,54.0,42.0
2017-03-13,0.0,1.0,29.0,13.0,47.0,33.0,0.0,59.0,51.0,66.0,54.0
2017-03-14,0.0,1.0,45.0,25.0,60.0,38.0,0.0,75.0,70.0,74.0,65.0
2017-03-15,0.0,1.0,50.0,16.0,59.0,30.0,21.0,74.0,65.0,69.0,60.0
2017-03-16,0.0,1.0,46.0,19.0,61.0,38.0,0.0,80.0,61.0,77.0,65.0
2017-03-17,0.0,1.0,46.0,24.0,59.0,39.0,0.0,65.0,65.0,78.0,58.0
2017-03-18,0.0,1.0,29.0,18.0,55.0,32.0,22.0,65.0,59.0,70.0,52.0
2017-03-19,0.0,1.0,36.0,14.0,41.0,29.0,0.0,50.0,37.0,60.0,51.0
2017-03-20,0.0,1.0,38.0,20.0,58.0,43.0,0.0,79.0,69.0,80.0,62.0
2017-03-21,0.0,1.0,55.0,17.0,66.0,37.0,0.0,77.0,68.0,78.0,65.0
2017-03-22,0.0,1.0,42.0,21.0,68.0,38.0,0.0,74.0,77.0,80.0,62.0
2017-03-23,0.0,,42.0,23.0,65.0,36.0,0.0,72.0,76.0,77.0,68.0
2017-03-24,0.0,,38.0,19.0,59.0,42.0,0.0,69.0,56.0,68.0,67.0
2017-03-25,0.0,,43.0,18.0,46.0,31.0,0.0,61.0,59.0,70.0,51.0
2017-03-26,0.0,,29.0,7.0,43.0,30.0,0.0,44.0,41.0,64.0,55.0
2017-03-27,0.0,,45.0,21.0,56.0,40.0,0.0,72.0,73.0,78.0,64.0
2017-03-28,0.0,,41.0,17.0,56.0,32.0,41.0,69.0,59.0,79.0,63.0
2017-03-29,0.0,,52.0,26.0,59.0,35.0,0.0,69.0,79.0,83.0,65.0
2017-03-30,0.0,,43.0,28.0,63.0,35.0,41.0,69.0,67.0,76.0,61.0
2017-03-31,0.0,,46.0,22.0,59.0,34.0,0.0,67.0,83.0,61.0,63.0
2017-04-01,0.0,,29.0,10.0,51.0,29.0,0.0,56.0,60.0,61.0,48.0
2017-04-02,0.0,,35.0,8.0,42.0,30.0,0.0,54.0,52.0,68.0,55.0
2017-04-03,0.0,,45.0,14.0,55.0,37.0,0.0,74.0,84.0,85.0,62.0
2017-04-04,0.0,,40.0,27.0,61.0,35.0,0.0,74.0,79.0,77.0,60.0
2017-04-05,0.0,,48.0,20.0,58.0,37.0,0.0,79.0,73.0,72.0,64.0
2017-04-06,0.0,,40.0,21.0,60.0,36.0,0.0,75.0,76.0,85.0,55.0
2017-04-07,0.0,,51.0,13.0,55.0,39.0,42.0,68.0,68.0,79.0,65.0
2017-04-08,0.0,,27.0,21.0,43.0,27.0,0.0,56.0,60.0,66.0,57.0
2017-04-09,0.0,,43.0,15.0,39.0,30.0,0.0,51.0,44.0,60.0,56.0
2017-04-10,0.0,,40.0,15.0,53.0,42.0,0.0,72.0,63.0,84.0,62.0
2017-04-11,0.0,,42.0,17.0,60.0,38.0,0.0,71.0,71.0,78.0,66.0
2017-04-12,0.0,,39.0,20.0,62.0,38.0,0.0,72.0,71.0,79.0,62.0
2017-04-13,0.0,,34.0,18.0,51.0,33.0,41.0,58.0,59.0,80.0,62.0
2017-04-14,0.0,,30.0,21.0,52.0,34.0,0.0,60.0,67.0,74.0,62.0
2017-04-15,0.0,,30.0,15.0,47.0,23.0,0.0,61.0,67.0,68.0,50.0
2017-04-16,0.0,,22.0,7.0,44.0,25.0,0.0,47.0,40.0,62.0,46.0
2017-04-17,0.0,,37.0,19.0,57.0,36.0,0.0,74.0,73.0,93.0,63.0
2017-04-18,0.0,,42.0,19.0,57.0,41.0,0.0,69.0,84.0,84.0,63.0
2017-04-19,0.0,,48.0,22.0,60.0,34.0,0.0,67.0,77.0,86.0,64.0
2017-04-20,0.0,,59.0,24.0,60.0,34.0,0.0,75.0,88.0,87.0,63.0
2017-04-21,0.0,,37.0,17.0,57.0,42.0,0.0,64.0,74.0,64.0,63.0
2017-04-22,0.0,,31.0,17.0,48.0,23.0,0.0,53.0,65.0,60.0,50.0
2017-04-23,0.0,,29.0,8.0,45.0,31.0,0.0,43.0,48.0,61.0,52.0
2017-04-24,0.0,,44.0,18.0,60.0,41.0,0.0,76.0,82.0,86.0,62.0
2017-04-25,0.0,,36.0,17.0,56.0,29.0,40.0,68.0,60.0,74.0,68.0
2017-04-26,0.0,,43.0,18.0,51.0,34.0,0.0,56.0,70.0,77.0,57.0
2017-04-27,0.0,,46.0,22.0,51.0,31.0,0.0,61.0,72.0,61.0,65.0
2017-04-28,0.0,,43.0,21.0,51.0,34.0,0.0,57.0,59.0,67.0,55.0
2017-04-29,0.0,,32.0,11.0,44.0,24.0,0.0,53.0,55.0,55.0,51.0
2017-04-30,0.0,,43.0,9.0,36.0,26.0,0.0,46.0,35.0,52.0,55.0
2017-05-01,0.0,,28.0,21.0,42.0,22.0,0.0,53.0,49.0,56.0,60.0
2017-05-02,0.0,,40.0,20.0,51.0,34.0,0.0,78.0,71.0,74.0,65.0
2017-05-03,0.0,,47.0,21.0,56.0,29.0,0.0,65.0,59.0,75.0,56.0
2017-05-04,0.0,,38.0,22.0,56.0,34.0,0.0,61.0,71.0,70.0,62.0
2017-05-05,0.0,,46.0,25.0,54.0,32.0,0.0,65.0,60.0,63.0,60.0
2017-05-06,0.0,,26.0,13.0,48.0,24.0,0.0,58.0,42.0,59.0,50.0
2017-05-07,0.0,,24.0,8.0,42.0,25.0,46.0,49.0,46.0,57.0,52.0
2017-05-08,0.0,,46.0,16.0,58.0,36.0,42.0,79.0,79.0,79.0,63.0
2017-05-09,0.0,,48.0,20.0,59.0,37.0,0.0,79.0,69.0,82.0,69.0
2017-05-10,94.0,,43.0,15.0,56.0,37.0,0.0,67.0,72.0,87.0,60.0
2017-05-11,0.0,,41.0,16.0,61.0,30.0,0.0,68.0,71.0,76.0,62.0
2017-05-12,0.0,,37.0,20.0,54.0,35.0,0.0,65.0,70.0,73.0,62.0
2017-05-13,0.0,,28.0,11.0,50.0,23.0,0.0,51.0,51.0,53.0,52.0
2017-05-14,0.0,,40.0,20.0,38.0,22.0,45.0,42.0,46.0,57.0,43.0
2017-05-15,0.0,,45.0,15.0,55.0,38.0,0.0,75.0,69.0,71.0,62.0
2017-05-16,0.0,,42.0,29.0,58.0,35.0,0.0,67.0,58.0,68.0,66.0
2017-05-17,0.0,,44.0,16.0,60.0,34.0,0.0,67.0,63.0,76.0,66.0
2017-05-18,0.0,,50.0,18.0,61.0,29.0,42.0,60.0,61.0,74.0,66.0
2017-05-19,0.0,,31.0,38.0,51.0,28.0,0.0,60.0,59.0,67.0,62.0
2017-05-20,0.0,,28.0,29.0,45.0,28.0,0.0,60.0,57.0,50.0,50.0
2017-05-21,0.0,,24.0,10.0,42.0,23.0,0.0,50.0,37.0,64.0,46.0
2017-05-22,100.0,,36.0,22.0,53.0,36.0,0.0,67.0,69.0,77.0,57.0
2017-05-23,0.0,,43.0,22.0,52.0,37.0,0.0,61.0,66.0,70.0,61.0
2017-05-24,0.0,,41.0,18.0,58.0,29.0,0.0,67.0,69.0,63.0,63.0
2017-05-25,0.0,,35.0,25.0,58.0,27.0,0.0,67.0,74.0,80.0,59.0
2017-05-26,0.0,,44.0,18.0,54.0,33.0,42.0,60.0,61.0,78.0,60.0
2017-05-27,0.0,,26.0,18.0,46.0,28.0,0.0,50.0,54.0,52.0,70.0
2017-05-28,0.0,,25.0,12.0,41.0,22.0,0.0,47.0,45.0,48.0,52.0
2017-05-29,0.0,,34.0,22.0,54.0,38.0,0.0,72.0,78.0,62.0,59.0
2017-05-30,0.0,1.0,37.0,21.0,51.0,30.0,0.0,61.0,49.0,68.0,55.0
2017-05-31,0.0,1.0,43.0,29.0,51.0,33.0,0.0,67.0,62.0,72.0,53.0
2017-06-01,0.0,1.0,43.0,21.0,52.0,32.0,0.0,64.0,62.0,69.0,56.0
2017-06-02,0.0,1.0,40.0,26.0,54.0,31.0,20.0,65.0,54.0,69.0,52.0
2017-06-03,0.0,1.0,23.0,20.0,42.0,25.0,0.0,59.0,55.0,59.0,43.0
2017-06-04,0.0,1.0,21.0,20.0,35.0,20.0,22.0,47.0,34.0,53.0,46.0
2017-06-05,0.0,1.0,36.0,27.0,55.0,32.0,21.0,77.0,68.0,70.0,55.0
2017-06-06,0.0,1.0,43.0,28.0,55.0,31.0,0.0,79.0,80.0,78.0,54.0
2017-06-07,0.0,1.0,41.0,22.0,56.0,35.0,0.0,81.0,66.0,71.0,58.0
2017-06-08,0.0,1.0,35.0,22.0,51.0,32.0,20.0,63.0,61.0,73.0,54.0
2017-06-09,0.0,1.0,31.0,30.0,47.0,30.0,0.0,63.0,57.0,70.0,48.0
2017-06-10,0.0,1.0,21.0,24.0,43.0,22.0,0.0,56.0,52.0,65.0,43.0
2017-06-11,0.0,1.0,27.0,20.0,41.0,23.0,0.0,52.0,42.0,62.0,48.0
2017-06-12,0.0,1.0,41.0,33.0,54.0,35.0,0.0,74.0,76.0,77.0,54.0
2017-06-13,0.0,1.0,43.0,35.0,58.0,34.0,0.0,68.0,69.0,71.0,59.0
2017-06-14,0.0,1.0,39.0,31.0,56.0,33.0,0.0,68.0,70.0,66.0,59.0
2017-06-15,0.0,1.0,35.0,31.0,55.0,35.0,0.0,62.0,72.0,67.0,54.0
2017-06-16,0.0,1.0,35.0,34.0,55.0,32.0,0.0,61.0,73.0,61.0,58.0
2017-06-17,48.0,1.0,21.0,28.0,46.0,21.0,0.0,67.0,53.0,53.0,50.0
2017-06-18,0.0,1.0,16.0,13.0,37.0,20.0,0.0,40.0,51.0,51.0,45.0
2017-06-19,0.0,1.0,50.0,25.0,55.0,38.0,0.0,74.0,88.0,69.0,63.0
2017-06-20,0.0,1.0,39.0,36.0,58.0,37.0,0.0,76.0,80.0,75.0,61.0
2017-06-21,0.0,1.0,39.0,35.0,59.0,31.0,37.0,72.0,73.0,75.0,65.0
2017-06-22,0.0,1.0,44.0,38.0,57.0,33.0,18.0,72.0,68.0,63.0,56.0
2017-06-23,0.0,1.0,45.0,32.0,52.0,33.0,0.0,62.0,66.0,75.0,56.0
2017-06-24,0.0,1.0,25.0,39.0,41.0,22.0,0.0,55.0,64.0,64.0,43.0
2017-06-25,0.0,1.0,14.0,28.0,37.0,20.0,0.0,45.0,47.0,59.0,47.0
2017-06-26,0.0,1.0,21.0,37.0,49.0,29.0,20.0,55.0,82.0,64.0,51.0
2017-06-27,0.0,1.0,44.0,47.0,55.0,30.0,0.0,68.0,63.0,75.0,58.0
2017-06-28,0.0,1.0,40.0,48.0,58.0,31.0,0.0,71.0,72.0,77.0,66.0
2017-06-29,0.0,1.0,42.0,57.0,52.0,35.0,0.0,69.0,94.0,75.0,65.0
2017-06-30,0.0,1.0,34.0,74.0,52.0,33.0,0.0,53.0,100.0,79.0,56.0
2017-07-01,0.0,1.0,31.0,100.0,46.0,27.0,0.0,62.0,70.0,63.0,47.0
2017-07-02,0.0,1.0,32.0,47.0,42.0,23.0,0.0,46.0,51.0,63.0,49.0
2017-07-03,0.0,1.0,33.0,59.0,55.0,30.0,0.0,74.0,80.0,69.0,63.0
2017-07-04,46.0,1.0,44.0,58.0,63.0,37.0,0.0,70.0,78.0,75.0,60.0
2017-07-05,0.0,1.0,36.0,46.0,57.0,34.0,0.0,70.0,64.0,65.0,65.0
2017-07-06,0.0,1.0,35.0,47.0,58.0,38.0,0.0,64.0,73.0,82.0,65.0
2017-07-07,0.0,1.0,41.0,42.0,62.0,42.0,0.0,67.0,65.0,73.0,62.0
2017-07-08,0.0,1.0,25.0,44.0,53.0,33.0,0.0,52.0,52.0,67.0,52.0
2017-07-09,0.0,1.0,26.0,27.0,44.0,26.0,0.0,43.0,38.0,67.0,46.0
2017-07-10,0.0,1.0,33.0,48.0,60.0,34.0,0.0,72.0,66.0,73.0,78.0
2017-07-11,0.0,1.0,45.0,46.0,64.0,35.0,0.0,69.0,64.0,73.0,66.0
2017-07-12,0.0,1.0,50.0,33.0,62.0,31.0,20.0,68.0,62.0,78.0,58.0
2017-07-13,0.0,1.0,46.0,38.0,60.0,37.0,0.0,69.0,66.0,74.0,62.0
2017-07-14,0.0,1.0,36.0,36.0,58.0,35.0,0.0,70.0,67.0,79.0,70.0
2017-07-15,0.0,1.0,28.0,28.0,54.0,26.0,0.0,61.0,56.0,63.0,52.0
2017-07-16,0.0,1.0,32.0,29.0,49.0,24.0,0.0,49.0,41.0,71.0,56.0
2017-07-17,0.0,1.0,38.0,32.0,65.0,34.0,0.0,83.0,72.0,76.0,62.0
2017-07-18,44.0,1.0,39.0,40.0,63.0,27.0,0.0,67.0,57.0,80.0,63.0
2017-07-19,0.0,1.0,40.0,39.0,59.0,37.0,0.0,71.0,64.0,81.0,64.0
2017-07-20,0.0,1.0,44.0,41.0,62.0,32.0,0.0,67.0,64.0,81.0,59.0
2017-07-21,45.0,1.0,36.0,31.0,63.0,35.0,0.0,64.0,66.0,68.0,65.0
2017-07-22,0.0,1.0,28.0,26.0,56.0,31.0,0.0,56.0,49.0,57.0,56.0
2017-07-23,0.0,1.0,27.0,26.0,45.0,26.0,0.0,44.0,38.0,53.0,50.0
2017-07-24,0.0,1.0,44.0,29.0,62.0,30.0,0.0,71.0,57.0,81.0,62.0
2017-07-25,0.0,1.0,46.0,41.0,62.0,35.0,0.0,71.0,60.0,78.0,63.0
2017-07-26,0.0,1.0,36.0,31.0,62.0,34.0,0.0,69.0,52.0,71.0,67.0
2017-07-27,0.0,1.0,40.0,30.0,62.0,36.0,0.0,70.0,67.0,87.0,62.0
2017-07-28,0.0,1.0,32.0,32.0,60.0,30.0,0.0,68.0,63.0,70.0,62.0
2017-07-29,0.0,1.0,30.0,21.0,53.0,27.0,0.0,62.0,61.0,72.0,55.0
2017-07-30,0.0,1.0,25.0,25.0,50.0,28.0,22.0,54.0,42.0,64.0,56.0
2017-07-31,0.0,1.0,45.0,30.0,61.0,34.0,0.0,81.0,64.0,74.0,63.0
2017-08-01,0.0,1.0,50.0,28.0,62.0,34.0,19.0,73.0,65.0,82.0,65.0
2017-08-02,0.0,1.0,47.0,32.0,65.0,32.0,0.0,83.0,66.0,75.0,68.0
2017-08-03,0.0,1.0,46.0,32.0,70.0,40.0,0.0,81.0,61.0,71.0,66.0
2017-08-04,0.0,1.0,39.0,32.0,58.0,38.0,19.0,77.0,58.0,83.0,70.0
2017-08-05,0.0,1.0,29.0,24.0,51.0,23.0,0.0,67.0,52.0,59.0,50.0
2017-08-06,0.0,1.0,24.0,18.0,40.0,24.0,0.0,49.0,36.0,49.0,51.0
2017-08-07,46.0,1.0,37.0,26.0,54.0,28.0,0.0,73.0,52.0,62.0,60.0
2017-08-08,0.0,1.0,43.0,30.0,65.0,33.0,19.0,77.0,63.0,87.0,67.0
2017-08-09,0.0,1.0,44.0,35.0,62.0,35.0,0.0,73.0,68.0,75.0,69.0
2017-08-10,0.0,1.0,45.0,32.0,61.0,34.0,0.0,72.0,71.0,75.0,71.0
2017-08-11,0.0,1.0,43.0,30.0,61.0,30.0,0.0,63.0,64.0,91.0,70.0
2017-08-12,46.0,1.0,26.0,24.0,49.0,18.0,0.0,52.0,52.0,65.0,53.0
2017-08-13,0.0,1.0,23.0,24.0,45.0,20.0,0.0,55.0,41.0,66.0,54.0
2017-08-14,0.0,1.0,31.0,32.0,56.0,26.0,0.0,57.0,53.0,69.0,60.0
2017-08-15,0.0,1.0,22.0,26.0,41.0,24.0,0.0,51.0,46.0,65.0,54.0
2017-08-16,0.0,1.0,38.0,36.0,60.0,33.0,0.0,80.0,71.0,76.0,69.0
