date,BRK.B,overlap,JPM,BAC,WFC,MS,BLK,GS,SCHW,C,SPGI
2017-01-17,11.0,1.0,30.0,7.0,35.0,79.0,79.0,19.0,13.0,92.0,0.0
2017-01-18,10.0,1.0,30.0,8.0,22.0,78.0,57.0,17.0,40.0,90.0,10.0
2017-01-19,15.0,1.0,27.0,7.0,35.0,82.0,54.0,16.0,6.0,89.0,0.0
2017-01-20,5.0,1.0,20.0,6.0,19.0,79.0,61.0,15.0,14.0,88.0,22.0
2017-01-21,3.0,1.0,12.0,6.0,13.0,74.0,77.0,18.0,54.0,78.0,0.0
2017-01-22,5.0,1.0,8.0,6.0,9.0,70.0,57.0,18.0,7.0,80.0,0.0
2017-01-23,8.0,1.0,22.0,6.0,12.0,86.0,50.0,16.0,39.0,92.0,5.0
2017-01-24,7.0,1.0,18.0,7.0,19.0,82.0,61.0,19.0,26.0,90.0,16.0
2017-01-25,15.0,1.0,23.0,6.0,42.0,80.0,50.0,17.0,32.0,89.0,11.0
2017-01-26,19.0,1.0,23.0,6.0,49.0,92.0,45.0,18.0,20.0,85.0,10.0
2017-01-27,16.0,1.0,23.0,5.0,27.0,84.0,50.0,16.0,35.0,84.0,5.0
2017-01-28,5.0,1.0,12.0,4.0,22.0,75.0,60.0,20.0,38.0,81.0,0.0
2017-01-29,2.0,1.0,7.0,5.0,9.0,66.0,63.0,17.0,22.0,80.0,0.0
2017-01-30,6.0,1.0,19.0,5.0,28.0,100.0,54.0,17.0,26.0,87.0,0.0
2017-01-31,8.0,1.0,19.0,6.0,25.0,85.0,53.0,16.0,32.0,91.0,0.0
2017-02-01,13.0,1.0,24.0,7.0,24.0,85.0,61.0,15.0,20.0,87.0,15.0
2017-02-02,11.0,1.0,14.0,7.0,12.0,82.0,52.0,15.0,39.0,88.0,11.0
2017-02-03,12.0,1.0,33.0,6.0,24.0,79.0,66.0,15.0,21.0,84.0,11.0
2017-02-04,2.0,1.0,14.0,6.0,21.0,68.0,51.0,22.0,7.0,81.0,0.0
2017-02-05,5.0,1.0,3.0,6.0,11.0,60.0,63.0,16.0,7.0,82.0,17.0
2017-02-06,2.0,1.0,13.0,7.0,25.0,78.0,68.0,15.0,32.0,88.0,5.0
2017-02-07,4.0,1.0,19.0,7.0,24.0,83.0,67.0,14.0,13.0,89.0,0.0
2017-02-08,10.0,1.0,20.0,7.0,22.0,80.0,76.0,14.0,26.0,91.0,31.0
2017-02-09,13.0,1.0,16.0,7.0,32.0,80.0,65.0,13.0,41.0,90.0,21.0
2017-02-10,13.0,1.0,25.0,6.0,22.0,77.0,72.0,15.0,40.0,89.0,5.0
2017-02-11,12.0,1.0,5.0,6.0,16.0,70.0,69.0,17.0,8.0,82.0,0.0
2017-02-12,9.0,1.0,6.0,6.0,15.0,64.0,63.0,24.0,7.0,83.0,0.0
2017-02-13,10.0,1.0,20.0,7.0,13.0,80.0,51.0,16.0,44.0,91.0,10.0
2017-02-14,12.0,1.0,27.0,7.0,22.0,80.0,61.0,16.0,25.0,89.0,31.0
2017-02-15,17.0,1.0,25.0,7.0,19.0,80.0,61.0,18.0,0.0,90.0,10.0
2017-02-16,8.0,1.0,22.0,7.0,24.0,83.0,64.0,17.0,32.0,90.0,25.0
2017-02-17,26.0,1.0,29.0,7.0,27.0,81.0,54.0,16.0,20.0,88.0,0.0
2017-02-18,4.0,1.0,8.0,6.0,8.0,71.0,59.0,22.0,8.0,82.0,0.0
2017-02-19,12.0,1.0,10.0,6.0,17.0,69.0,63.0,16.0,7.0,83.0,17.0
2017-02-20,2.0,1.0,12.0,7.0,11.0,78.0,63.0,15.0,13.0,91.0,0.0
2017-02-21,15.0,1.0,25.0,8.0,22.0,85.0,58.0,14.0,13.0,90.0,0.0
2017-02-22,9.0,1.0,23.0,7.0,28.0,83.0,55.0,14.0,6.0,90.0,5.0
2017-02-23,19.0,1.0,27.0,7.0,16.0,80.0,62.0,16.0,14.0,87.0,5.0
2017-02-24,16.0,1.0,17.0,7.0,41.0,87.0,55.0,17.0,0.0,84.0,5.0
2017-02-25,10.0,1.0,12.0,7.0,10.0,71.0,53.0,15.0,0.0,83.0,6.0
2017-02-26,9.0,1.0,3.0,7.0,14.0,66.0,68.0,19.0,15.0,83.0,0.0
2017-02-27,26.0,1.0,15.0,8.0,20.0,78.0,56.0,49.0,44.0,86.0,0.0
2017-02-28,27.0,1.0,25.0,9.0,24.0,79.0,62.0,22.0,32.0,90.0,0.0
2017-03-01,36.0,1.0,29.0,8.0,25.0,80.0,58.0,16.0,19.0,92.0,0.0
2017-03-02,26.0,1.0,24.0,8.0,24.0,84.0,59.0,15.0,32.0,90.0,5.0
2017-03-03,26.0,1.0,21.0,7.0,32.0,83.0,66.0,14.0,20.0,88.0,16.0
2017-03-04,2.0,1.0,6.0,7.0,22.0,70.0,47.0,14.0,22.0,82.0,11.0
2017-03-05,10.0,1.0,5.0,8.0,19.0,67.0,55.0,17.0,15.0,86.0,0.0
2017-03-06,16.0,1.0,21.0,8.0,18.0,84.0,68.0,20.0,25.0,92.0,19.0
2017-03-07,14.0,1.0,14.0,8.0,28.0,83.0,59.0,16.0,19.0,88.0,0.0
2017-03-08,10.0,1.0,22.0,8.0,23.0,83.0,47.0,15.0,38.0,88.0,15.0
2017-03-09,19.0,1.0,20.0,8.0,25.0,80.0,62.0,16.0,26.0,88.0,10.0
2017-03-10,11.0,1.0,27.0,7.0,22.0,83.0,65.0,15.0,27.0,87.0,5.0
2017-03-11,3.0,1.0,4.0,7.0,8.0,69.0,51.0,19.0,37.0,79.0,12.0
2017-03-12,0.0,1.0,5.0,8.0,13.0,65.0,58.0,19.0,21.0,86.0,0.0
2017-03-13,10.0,1.0,19.0,9.0,26.0,79.0,51.0,14.0,17.0,87.0,0.0
2017-03-14,12.0,1.0,22.0,8.0,20.0,82.0,72.0,16.0,26.0,91.0,20.0
2017-03-15,4.0,1.0,24.0,9.0,29.0,80.0,59.0,16.0,14.0,93.0,36.0
2017-03-16,15.0,1.0,24.0,9.0,37.0,84.0,57.0,15.0,26.0,90.0,15.0
2017-03-17,15.0,1.0,19.0,8.0,23.0,81.0,61.0,14.0,7.0,87.0,5.0
2017-03-18,5.0,1.0,5.0,8.0,20.0,68.0,66.0,22.0,0.0,84.0,0.0
2017-03-19,2.0,1.0,9.0,8.0,5.0,69.0,55.0,17.0,36.0,83.0,12.0
2017-03-20,11.0,1.0,17.0,9.0,22.0,82.0,68.0,15.0,19.0,92.0,5.0
2017-03-21,20.0,1.0,29.0,8.0,26.0,80.0,69.0,16.0,33.0,90.0,15.0
2017-03-22,2.0,1.0,23.0,8.0,32.0,83.0,68.0,15.0,13.0,90.0,20.0
2017-03-23,5.0,,27.0,7.0,34.0,81.0,53.0,14.0,25.0,86.0,0.0
2017-03-24,19.0,,33.0,8.0,28.0,82.0,62.0,13.0,0.0,86.0,0.0
2017-03-25,0.0,,11.0,7.0,3.0,75.0,32.0,16.0,15.0,84.0,0.0
2017-03-26,0.0,,7.0,8.0,14.0,72.0,61.0,14.0,43.0,82.0,0.0
2017-03-27,9.0,,27.0,8.0,27.0,90.0,58.0,15.0,13.0,89.0,0.0
2017-03-28,9.0,,11.0,8.0,21.0,84.0,43.0,14.0,13.0,88.0,20.0
2017-03-29,0.0,,23.0,8.0,20.0,84.0,77.0,14.0,13.0,88.0,21.0
2017-03-30,5.0,,16.0,8.0,25.0,86.0,70.0,15.0,51.0,89.0,21.0
2017-03-31,0.0,,19.0,9.0,35.0,89.0,66.0,15.0,39.0,85.0,0.0
2017-04-01,5.0,,13.0,8.0,14.0,73.0,63.0,15.0,0.0,84.0,0.0
2017-04-02,0.0,,13.0,8.0,17.0,66.0,45.0,15.0,14.0,84.0,0.0
2017-04-03,14.0,,19.0,7.0,21.0,87.0,68.0,20.0,25.0,86.0,20.0
2017-04-04,19.0,,22.0,9.0,21.0,84.0,57.0,15.0,50.0,90.0,20.0
2017-04-05,14.0,,35.0,8.0,14.0,78.0,81.0,14.0,25.0,90.0,40.0
2017-04-06,9.0,,27.0,8.0,22.0,81.0,67.0,14.0,38.0,88.0,0.0
2017-04-07,15.0,,26.0,8.0,35.0,83.0,53.0,14.0,13.0,84.0,0.0
2017-04-08,16.0,,6.0,7.0,20.0,74.0,73.0,15.0,0.0,78.0,0.0
2017-04-09,5.0,,7.0,8.0,11.0,65.0,50.0,14.0,73.0,83.0,0.0
2017-04-10,0.0,,21.0,8.0,27.0,81.0,73.0,19.0,63.0,88.0,21.0
2017-04-11,10.0,,20.0,8.0,22.0,80.0,65.0,14.0,13.0,88.0,41.0
2017-04-12,5.0,,32.0,8.0,25.0,82.0,54.0,14.0,38.0,89.0,21.0
2017-04-13,15.0,,40.0,8.0,54.0,76.0,61.0,13.0,0.0,84.0,0.0
2017-04-14,16.0,,7.0,7.0,25.0,77.0,48.0,14.0,28.0,80.0,0.0
2017-04-15,5.0,,9.0,7.0,14.0,69.0,63.0,14.0,45.0,81.0,0.0
2017-04-16,5.0,,7.0,7.0,14.0,62.0,62.0,15.0,45.0,80.0,0.0
2017-04-17,10.0,,18.0,8.0,35.0,82.0,62.0,14.0,26.0,85.0,0.0
2017-04-18,9.0,,18.0,8.0,36.0,80.0,53.0,15.0,75.0,90.0,20.0
2017-04-19,14.0,,15.0,8.0,36.0,84.0,72.0,13.0,25.0,89.0,40.0
2017-04-20,9.0,,21.0,8.0,39.0,86.0,50.0,13.0,13.0,90.0,0.0
2017-04-21,0.0,,18.0,8.0,28.0,77.0,52.0,15.0,39.0,87.0,0.0
2017-04-22,5.0,,5.0,7.0,22.0,75.0,57.0,18.0,14.0,78.0,0.0
2017-04-23,0.0,,3.0,8.0,16.0,64.0,67.0,55.0,28.0,81.0,22.0
2017-04-24,0.0,,16.0,8.0,36.0,87.0,74.0,20.0,13.0,90.0,20.0
2017-04-25,14.0,,28.0,9.0,38.0,87.0,73.0,15.0,38.0,89.0,0.0
2017-04-26,18.0,,19.0,9.0,29.0,85.0,60.0,14.0,25.0,91.0,20.0
2017-04-27,23.0,,29.0,8.0,38.0,84.0,58.0,13.0,0.0,90.0,20.0
2017-04-28,25.0,,17.0,8.0,28.0,81.0,55.0,15.0,0.0,84.0,0.0
2017-04-29,0.0,,11.0,7.0,6.0,73.0,65.0,14.0,44.0,78.0,0.0
2017-04-30,5.0,,6.0,7.0,14.0,67.0,47.0,15.0,0.0,82.0,0.0
2017-05-01,0.0,,12.0,8.0,29.0,77.0,58.0,18.0,13.0,88.0,0.0
2017-05-02,9.0,,21.0,8.0,29.0,84.0,67.0,15.0,13.0,85.0,20.0
2017-05-03,14.0,,22.0,8.0,20.0,86.0,60.0,15.0,38.0,86.0,0.0
2017-05-04,28.0,,20.0,8.0,34.0,85.0,62.0,14.0,13.0,88.0,0.0
2017-05-05,34.0,,20.0,8.0,23.0,92.0,61.0,13.0,13.0,86.0,0.0
2017-05-06,16.0,,10.0,8.0,17.0,82.0,75.0,18.0,14.0,79.0,0.0
2017-05-07,0.0,,5.0,8.0,8.0,72.0,66.0,15.0,0.0,79.0,0.0
2017-05-08,14.0,,16.0,8.0,27.0,92.0,65.0,15.0,13.0,90.0,0.0
2017-05-09,14.0,,16.0,9.0,47.0,94.0,53.0,14.0,37.0,85.0,40.0
2017-05-10,23.0,,26.0,9.0,19.0,90.0,62.0,13.0,13.0,85.0,0.0
2017-05-11,0.0,,15.0,9.0,22.0,88.0,58.0,14.0,26.0,88.0,0.0
2017-05-12,10.0,,23.0,9.0,35.0,91.0,72.0,14.0,0.0,85.0,0.0
2017-05-13,0.0,,8.0,8.0,14.0,77.0,53.0,15.0,15.0,81.0,0.0
2017-05-14,0.0,,4.0,8.0,14.0,79.0,34.0,16.0,29.0,81.0,0.0
2017-05-15,25.0,,21.0,9.0,28.0,97.0,60.0,16.0,66.0,86.0,21.0
2017-05-16,15.0,,9.0,10.0,26.0,96.0,55.0,14.0,0.0,84.0,0.0
2017-05-17,10.0,,13.0,9.0,36.0,89.0,67.0,16.0,13.0,86.0,0.0
2017-05-18,0.0,,18.0,8.0,23.0,94.0,79.0,14.0,41.0,86.0,0.0
2017-05-19,10.0,,19.0,8.0,14.0,87.0,58.0,19.0,28.0,83.0,23.0
2017-05-20,6.0,,6.0,8.0,6.0,72.0,56.0,14.0,0.0,81.0,0.0
2017-05-21,0.0,,3.0,8.0,6.0,73.0,73.0,15.0,0.0,82.0,0.0
2017-05-22,20.0,,17.0,8.0,29.0,83.0,91.0,16.0,27.0,84.0,0.0
2017-05-23,24.0,,24.0,8.0,35.0,82.0,50.0,15.0,13.0,84.0,21.0
2017-05-24,5.0,,17.0,8.0,31.0,81.0,60.0,16.0,28.0,85.0,0.0
2017-05-25,5.0,,20.0,8.0,27.0,77.0,64.0,16.0,0.0,87.0,22.0
2017-05-26,33.0,,16.0,7.0,25.0,82.0,57.0,15.0,0.0,82.0,23.0
2017-05-27,0.0,,5.0,8.0,12.0,72.0,70.0,16.0,0.0,79.0,52.0
2017-05-28,6.0,,8.0,8.0,12.0,65.0,62.0,19.0,16.0,80.0,0.0
2017-05-29,5.0,,8.0,9.0,5.0,75.0,41.0,18.0,28.0,82.0,0.0
2017-05-30,5.0,1.0,20.0,9.0,23.0,85.0,61.0,15.0,40.0,89.0,0.0
2017-05-31,5.0,1.0,10.0,10.0,18.0,83.0,71.0,17.0,0.0,83.0,11.0
2017-06-01,11.0,1.0,14.0,9.0,32.0,83.0,56.0,17.0,22.0,85.0,11.0
2017-06-02,9.0,1.0,16.0,9.0,26.0,84.0,64.0,18.0,0.0,81.0,0.0
2017-06-03,0.0,1.0,14.0,9.0,17.0,68.0,51.0,18.0,23.0,78.0,13.0
2017-06-04,0.0,1.0,3.0,8.0,20.0,62.0,44.0,14.0,0.0,78.0,25.0
2017-06-05,18.0,1.0,20.0,10.0,16.0,83.0,53.0,20.0,28.0,84.0,0.0
2017-06-06,12.0,1.0,19.0,11.0,26.0,81.0,55.0,16.0,7.0,86.0,0.0
2017-06-07,8.0,1.0,20.0,12.0,24.0,78.0,63.0,16.0,34.0,83.0,43.0
2017-06-08,16.0,1.0,22.0,12.0,21.0,79.0,49.0,20.0,14.0,85.0,22.0
2017-06-09,23.0,1.0,22.0,11.0,18.0,76.0,54.0,15.0,14.0,80.0,23.0
2017-06-10,9.0,1.0,5.0,11.0,12.0,70.0,57.0,21.0,24.0,79.0,0.0
2017-06-11,6.0,1.0,4.0,12.0,13.0,69.0,56.0,17.0,0.0,78.0,0.0
2017-06-12,13.0,1.0,18.0,14.0,36.0,81.0,65.0,16.0,14.0,83.0,22.0
2017-06-13,13.0,1.0,29.0,14.0,25.0,81.0,69.0,22.0,33.0,85.0,11.0
2017-06-14,8.0,1.0,21.0,20.0,13.0,80.0,56.0,18.0,27.0,85.0,0.0
2017-06-15,9.0,1.0,18.0,34.0,22.0,75.0,63.0,18.0,0.0,84.0,46.0
2017-06-16,5.0,1.0,28.0,22.0,29.0,80.0,51.0,18.0,8.0,82.0,35.0
2017-06-17,3.0,1.0,9.0,14.0,27.0,69.0,62.0,16.0,25.0,80.0,0.0
2017-06-18,6.0,1.0,6.0,14.0,10.0,62.0,43.0,18.0,24.0,78.0,12.0
2017-06-19,5.0,1.0,16.0,20.0,38.0,82.0,61.0,17.0,14.0,88.0,32.0
2017-06-20,17.0,1.0,17.0,21.0,22.0,81.0,62.0,18.0,34.0,88.0,11.0
2017-06-21,5.0,1.0,16.0,18.0,16.0,79.0,54.0,17.0,20.0,87.0,42.0
2017-06-22,17.0,1.0,18.0,15.0,17.0,80.0,67.0,16.0,0.0,85.0,43.0
2017-06-23,5.0,1.0,18.0,10.0,23.0,82.0,59.0,17.0,35.0,84.0,22.0
2017-06-24,0.0,1.0,13.0,9.0,11.0,69.0,68.0,16.0,9.0,79.0,0.0
2017-06-25,3.0,1.0,1.0,9.0,19.0,61.0,55.0,16.0,0.0,79.0,0.0
2017-06-26,19.0,1.0,23.0,14.0,23.0,77.0,69.0,17.0,27.0,82.0,0.0
2017-06-27,9.0,1.0,13.0,10.0,27.0,78.0,56.0,16.0,8.0,85.0,0.0
2017-06-28,11.0,1.0,32.0,12.0,28.0,79.0,78.0,17.0,42.0,84.0,0.0
2017-06-29,8.0,1.0,25.0,12.0,50.0,78.0,65.0,18.0,21.0,88.0,59.0
2017-06-30,14.0,1.0,25.0,12.0,21.0,78.0,76.0,18.0,8.0,83.0,13.0
2017-07-01,19.0,1.0,3.0,9.0,16.0,69.0,75.0,15.0,32.0,79.0,14.0
2017-07-02,9.0,1.0,7.0,10.0,16.0,63.0,63.0,20.0,0.0,82.0,28.0
2017-07-03,17.0,1.0,27.0,14.0,21.0,81.0,66.0,16.0,43.0,85.0,23.0
2017-07-04,0.0,1.0,15.0,23.0,14.0,71.0,57.0,16.0,8.0,83.0,0.0
2017-07-05,8.0,1.0,30.0,100.0,26.0,79.0,61.0,17.0,37.0,83.0,11.0
2017-07-06,19.0,1.0,27.0,25.0,30.0,83.0,81.0,17.0,0.0,85.0,0.0
2017-07-07,5.0,1.0,25.0,21.0,24.0,94.0,78.0,17.0,15.0,82.0,0.0
2017-07-08,3.0,1.0,6.0,12.0,19.0,71.0,57.0,20.0,43.0,81.0,0.0
2017-07-09,0.0,1.0,7.0,10.0,10.0,62.0,62.0,18.0,49.0,81.0,0.0
2017-07-10,11.0,1.0,27.0,18.0,25.0,80.0,75.0,17.0,7.0,87.0,0.0
2017-07-11,16.0,1.0,26.0,12.0,28.0,80.0,65.0,17.0,21.0,85.0,0.0
2017-07-12,11.0,1.0,19.0,11.0,23.0,77.0,69.0,18.0,29.0,89.0,34.0
2017-07-13,10.0,1.0,16.0,10.0,29.0,80.0,66.0,22.0,7.0,84.0,0.0
2017-07-14,8.0,1.0,49.0,8.0,65.0,78.0,69.0,18.0,15.0,82.0,11.0
2017-07-15,3.0,1.0,14.0,8.0,13.0,68.0,69.0,18.0,17.0,79.0,54.0
2017-07-16,0.0,1.0,9.0,8.0,16.0,64.0,54.0,17.0,9.0,83.0,0.0
2017-07-17,16.0,1.0,35.0,7.0,32.0,82.0,70.0,18.0,7.0,84.0,34.0
2017-07-18,16.0,1.0,30.0,8.0,28.0,82.0,58.0,19.0,0.0,83.0,12.0
2017-07-19,16.0,1.0,26.0,10.0,33.0,79.0,65.0,20.0,7.0,84.0,0.0
2017-07-20,3.0,1.0,32.0,8.0,21.0,77.0,61.0,39.0,7.0,84.0,0.0
2017-07-21,23.0,1.0,14.0,8.0,24.0,76.0,62.0,19.0,15.0,83.0,13.0
2017-07-22,9.0,1.0,5.0,7.0,10.0,70.0,57.0,17.0,8.0,80.0,0.0
2017-07-23,6.0,1.0,10.0,7.0,11.0,61.0,47.0,16.0,8.0,80.0,0.0
2017-07-24,0.0,1.0,14.0,9.0,39.0,81.0,63.0,16.0,7.0,86.0,22.0
2017-07-25,10.0,1.0,24.0,21.0,32.0,84.0,60.0,16.0,34.0,86.0,11.0
2017-07-26,16.0,1.0,24.0,10.0,27.0,80.0,73.0,17.0,35.0,85.0,0.0
2017-07-27,5.0,1.0,26.0,8.0,24.0,78.0,55.0,17.0,28.0,83.0,21.0
2017-07-28,9.0,1.0,16.0,8.0,24.0,82.0,68.0,18.0,8.0,82.0,11.0
2017-07-29,3.0,1.0,10.0,7.0,19.0,70.0,67.0,18.0,41.0,79.0,13.0
2017-07-30,6.0,1.0,3.0,6.0,13.0,65.0,51.0,18.0,40.0,78.0,12.0
2017-07-31,26.0,1.0,15.0,7.0,27.0,78.0,77.0,20.0,36.0,83.0,11.0
2017-08-01,23.0,1.0,17.0,7.0,29.0,81.0,70.0,17.0,40.0,83.0,11.0
2017-08-02,27.0,1.0,20.0,6.0,28.0,80.0,74.0,16.0,19.0,85.0,31.0
2017-08-03,3.0,1.0,20.0,6.0,21.0,81.0,73.0,18.0,21.0,86.0,0.0
2017-08-04,19.0,1.0,29.0,6.0,38.0,80.0,58.0,18.0,7.0,81.0,0.0
2017-08-05,6.0,1.0,8.0,6.0,17.0,69.0,56.0,29.0,32.0,79.0,0.0
2017-08-06,0.0,1.0,8.0,6.0,14.0,63.0,67.0,18.0,8.0,79.0,0.0
2017-08-07,23.0,1.0,26.0,6.0,27.0,79.0,70.0,17.0,0.0,81.0,0.0
2017-08-08,23.0,1.0,23.0,6.0,22.0,80.0,53.0,17.0,6.0,82.0,22.0
2017-08-09,18.0,1.0,16.0,6.0,25.0,80.0,61.0,17.0,13.0,84.0,0.0
2017-08-10,13.0,1.0,22.0,6.0,18.0,76.0,62.0,16.0,21.0,83.0,0.0
2017-08-11,5.0,1.0,23.0,7.0,14.0,79.0,71.0,16.0,8.0,82.0,22.0
2017-08-12,0.0,1.0,4.0,6.0,10.0,67.0,68.0,16.0,8.0,78.0,0.0
2017-08-13,3.0,1.0,7.0,6.0,21.0,62.0,59.0,15.0,39.0,79.0,0.0
2017-08-14,13.0,1.0,18.0,6.0,15.0,81.0,54.0,25.0,0.0,80.0,0.0
2017-08-15,19.0,1.0,16.0,6.0,20.0,79.0,63.0,24.0,42.0,78.0,12.0
2017-08-16,13.0,1.0,17.0,6.0,31.0,78.0,65.0,18.0,13.0,81.0,11.0
2017-08-17,15.0,1.0,19.0,6.0,27.0,76.0,60.0,17.0,0.0,79.0,0.0
2017-08-18,19.0,1.0,18.0,6.0,15.0,78.0,69.0,17.0,7.0,80.0,34.0
