date,iphone,overlap
2017-01-01,29.0,1.0
2017-01-02,29.0,1.0
2017-01-03,27.0,1.0
2017-01-04,27.0,1.0
2017-01-05,27.0,1.0
2017-01-06,26.0,1.0
2017-01-07,28.0,1.0
2017-01-08,28.0,1.0
2017-01-09,26.0,1.0
2017-01-10,25.0,1.0
2017-01-11,24.0,1.0
2017-01-12,24.0,1.0
2017-01-13,25.0,1.0
2017-01-14,27.0,1.0
2017-01-15,27.0,1.0
2017-01-16,25.0,1.0
2017-01-17,24.0,1.0
2017-01-18,24.0,1.0
2017-01-19,24.0,1.0
2017-01-20,24.0,1.0
2017-01-21,26.0,1.0
2017-01-22,27.0,1.0
2017-01-23,25.0,1.0
2017-01-24,23.0,1.0
2017-01-25,23.0,1.0
2017-01-26,23.0,1.0
2017-01-27,23.0,1.0
2017-01-28,26.0,1.0
2017-01-29,27.0,1.0
2017-01-30,24.0,1.0
2017-01-31,24.0,1.0
2017-02-01,23.0,1.0
2017-02-02,23.0,1.0
2017-02-03,24.0,1.0
2017-02-04,26.0,1.0
2017-02-05,25.0,1.0
2017-02-06,23.0,1.0
2017-02-07,23.0,1.0
2017-02-08,22.0,1.0
2017-02-09,22.0,1.0
2017-02-10,23.0,1.0
2017-02-11,26.0,1.0
2017-02-12,26.0,1.0
2017-02-13,23.0,1.0
2017-02-14,22.0,1.0
2017-02-15,22.0,1.0
2017-02-16,22.0,1.0
2017-02-17,23.0,1.0
2017-02-18,25.0,1.0
2017-02-19,26.0,1.0
2017-02-20,23.0,1.0
2017-02-21,23.0,1.0
2017-02-22,22.0,1.0
2017-02-23,22.0,1.0
2017-02-24,22.0,1.0
2017-02-25,25.0,1.0
2017-02-26,25.0,1.0
2017-02-27,22.0,1.0
2017-02-28,23.0,1.0
2017-03-01,23.0,1.0
2017-03-02,22.0,1.0
2017-03-03,23.0,1.0
2017-03-04,25.0,1.0
2017-03-05,25.0,1.0
2017-03-06,23.0,1.0
2017-03-07,22.0,1.0
2017-03-08,22.0,1.0
2017-03-09,21.0,1.0
2017-03-10,22.0,1.0
2017-03-11,25.0,1.0
2017-03-12,25.0,1.0
2017-03-13,22.0,1.0
2017-03-14,22.0,1.0
2017-03-15,22.0,1.0
2017-03-16,21.0,1.0
2017-03-17,22.0,1.0
2017-03-18,25.0,1.0
2017-03-19,25.0,1.0
2017-03-20,23.0,1.0
2017-03-21,25.0,1.0
2017-03-22,26.0,1.0
2017-03-23,24.0,
2017-03-24,25.0,
2017-03-25,27.0,
2017-03-26,27.0,
2017-03-27,24.0,
2017-03-28,24.0,
2017-03-29,24.0,
2017-03-30,25.0,
2017-03-31,24.0,
2017-04-01,27.0,
2017-04-02,27.0,
2017-04-03,23.0,
2017-04-04,22.0,
2017-04-05,22.0,
2017-04-06,23.0,
2017-04-07,22.0,
2017-04-08,24.0,
2017-04-09,25.0,
2017-04-10,23.0,
2017-04-11,23.0,
2017-04-12,22.0,
2017-04-13,24.0,
2017-04-14,24.0,
2017-04-15,24.0,
2017-04-16,25.0,
2017-04-17,24.0,
2017-04-18,23.0,
2017-04-19,22.0,
2017-04-20,22.0,
2017-04-21,22.0,
2017-04-22,25.0,
2017-04-23,24.0,
2017-04-24,23.0,
2017-04-25,22.0,
2017-04-26,22.0,
2017-04-27,22.0,
2017-04-28,22.0,
2017-04-29,24.0,
2017-04-30,25.0,
2017-05-01,24.0,
2017-05-02,22.0,
2017-05-03,22.0,
2017-05-04,23.0,
2017-05-05,22.0,
2017-05-06,25.0,
2017-05-07,25.0,
2017-05-08,22.0,
2017-05-09,22.0,
2017-05-10,22.0,
2017-05-11,22.0,
2017-05-12,22.0,
2017-05-13,24.0,
2017-05-14,25.0,
2017-05-15,22.0,
2017-05-16,21.0,
2017-05-17,22.0,
2017-05-18,22.0,
2017-05-19,23.0,
2017-05-20,25.0,
2017-05-21,25.0,
2017-05-22,22.0,
2017-05-23,22.0,
2017-05-24,21.0,
2017-05-25,22.0,
2017-05-26,22.0,
2017-05-27,24.0,
2017-05-28,25.0,
2017-05-29,23.0,
2017-05-30,23.0,1.0
2017-05-31,23.0,1.0
2017-06-01,22.0,1.0
2017-06-02,24.0,1.0
2017-06-03,25.0,1.0
2017-06-04,25.0,1.0
2017-06-05,24.0,1.0
2017-06-06,25.0,1.0
2017-06-07,23.0,1.0
2017-06-08,23.0,1.0
2017-06-09,23.0,1.0
2017-06-10,26.0,1.0
2017-06-11,27.0,1.0
2017-06-12,23.0,1.0
2017-06-13,23.0,1.0
2017-06-14,24.0,1.0
2017-06-15,23.0,1.0
2017-06-16,24.0,1.0
2017-06-17,26.0,1.0
2017-06-18,26.0,1.0
2017-06-19,24.0,1.0
2017-06-20,24.0,1.0
2017-06-21,24.0,1.0
2017-06-22,24.0,1.0
2017-06-23,24.0,1.0
2017-06-24,26.0,1.0
2017-06-25,26.0,1.0
2017-06-26,24.0,1.0
2017-06-27,25.0,1.0
2017-06-28,25.0,1.0
2017-06-29,25.0,1.0
2017-06-30,25.0,1.0
2017-07-01,27.0,1.0
2017-07-02,27.0,1.0
2017-07-03,25.0,1.0
2017-07-04,25.0,1.0
2017-07-05,26.0,1.0
2017-07-06,25.0,1.0
2017-07-07,25.0,1.0
2017-07-08,26.0,1.0
2017-07-09,27.0,1.0
2017-07-10,24.0,1.0
2017-07-11,25.0,1.0
2017-07-12,25.0,1.0
2017-07-13,25.0,1.0
2017-07-14,24.0,1.0
2017-07-15,26.0,1.0
2017-07-16,28.0,1.0
2017-07-17,25.0,1.0
2017-07-18,24.0,1.0
2017-07-19,24.0,1.0
2017-07-20,24.0,1.0
2017-07-21,24.0,1.0
2017-07-22,27.0,1.0
2017-07-23,26.0,1.0
2017-07-24,25.0,1.0
2017-07-25,25.0,1.0
2017-07-26,25.0,1.0
2017-07-27,25.0,1.0
2017-07-28,25.0,1.0
2017-07-29,27.0,1.0
2017-07-30,27.0,1.0
2017-07-31,26.0,1.0
2017-08-01,25.0,1.0
2017-08-02,25.0,1.0
2017-08-03,25.0,1.0
2017-08-04,25.0,1.0
2017-08-05,27.0,1.0
2017-08-06,28.0,1.0
2017-08-07,26.0,1.0
2017-08-08,26.0,1.0
2017-08-09,25.0,1.0
2017-08-10,25.0,1.0
2017-08-11,26.0,1.0
2017-08-12,27.0,1.0
2017-08-13,28.0,1.0
2017-08-14,25.0,1.0
2017-08-15,26.0,1.0
2017-08-16,25.0,1.0
2017-08-17,25.0,1.0
2017-08-18,26.0,1.0
2017-08-19,28.0,1.0
2017-08-20,27.0,1.0
2017-08-21,26.0,1.0
2017-08-22,25.0,1.0
2017-08-23,25.0,1.0
2017-08-24,26.0,1.0
2017-08-25,26.0,1.0
2017-08-26,28.0,1.0
2017-08-27,26.0,1.0
2017-08-28,26.0,1.0
2017-08-29,26.0,1.0
2017-08-30,27.0,1.0
2017-08-31,26.0,1.0
2017-09-01,27.0,1.0
2017-09-02,29.0,1.0
2017-09-03,29.0,1.0
2017-09-04,27.0,1.0
2017-09-05,26.0,1.0
2017-09-06,26.0,1.0
2017-09-07,26.0,1.0
2017-09-08,26.0,
2017-09-09,29.0,
2017-09-10,30.0,
2017-09-11,32.0,
2017-09-12,100.0,
2017-09-13,100.0,
2017-09-14,53.0,
2017-09-15,47.0,
2017-09-16,45.0,
2017-09-17,39.0,
2017-09-18,35.0,
2017-09-19,35.0,
2017-09-20,34.0,
2017-09-21,34.0,
2017-09-22,39.0,
2017-09-23,43.0,
2017-09-24,39.0,
2017-09-25,32.0,
2017-09-26,33.0,
2017-09-27,32.0,
2017-09-28,30.0,
2017-09-29,31.0,
2017-09-30,36.0,
2017-10-01,35.0,
2017-10-02,30.0,
2017-10-03,30.0,
2017-10-04,30.0,
2017-10-05,30.0,
2017-10-06,29.0,
2017-10-07,34.0,
2017-10-08,33.0,
2017-10-09,29.0,
2017-10-10,28.0,
2017-10-11,27.0,
2017-10-12,28.0,
2017-10-13,28.0,
2017-10-14,31.0,
2017-10-15,32.0,
2017-10-16,28.0,
2017-10-17,28.0,
2017-10-18,27.0,
2017-10-19,27.0,
2017-10-20,28.0,
2017-10-21,32.0,
2017-10-22,32.0,
2017-10-23,28.0,
2017-10-24,29.0,
2017-10-25,28.0,
2017-10-26,31.0,
2017-10-27,39.0,
2017-10-28,34.0,
2017-10-29,34.0,
2017-10-30,30.0,
2017-10-31,29.0,
2017-11-01,31.0,
2017-11-02,32.0,
2017-11-03,44.0,
2017-11-04,46.0,
2017-11-05,41.0,
2017-11-06,38.0,
2017-11-07,35.0,
2017-11-08,33.0,
2017-11-09,32.0,
2017-11-10,33.0,
2017-11-11,37.0,
2017-11-12,35.0,
2017-11-13,31.0,
2017-11-14,31.0,
2017-11-15,31.0,1.0
2017-11-16,31.0,1.0
2017-11-17,31.0,1.0
2017-11-18,35.0,1.0
2017-11-19,34.0,1.0
2017-11-20,31.0,1.0
2017-11-21,31.0,1.0
2017-11-22,32.0,1.0
2017-11-23,33.0,1.0
2017-11-24,38.0,1.0
2017-11-25,38.0,1.0
2017-11-26,36.0,1.0
2017-11-27,32.0,1.0
2017-11-28,30.0,1.0
2017-11-29,31.0,1.0
2017-11-30,29.0,1.0
2017-12-01,31.0,1.0
2017-12-02,37.0,1.0
2017-12-03,35.0,1.0
2017-12-04,31.0,1.0
2017-12-05,30.0,1.0
2017-12-06,30.0,1.0
2017-12-07,29.0,1.0
2017-12-08,31.0,1.0
2017-12-09,34.0,1.0
2017-12-10,34.0,1.0
2017-12-11,30.0,1.0
2017-12-12,29.0,1.0
2017-12-13,29.0,1.0
2017-12-14,29.0,1.0
2017-12-15,30.0,1.0
2017-12-16,33.0,1.0
2017-12-17,34.0,1.0
2017-12-18,31.0,1.0
2017-12-19,30.0,1.0
2017-12-20,30.0,1.0
2017-12-21,31.0,1.0
2017-12-22,32.0,1.0
2017-12-23,34.0,1.0
2017-12-24,36.0,1.0
2017-12-25,43.0,1.0
2017-12-26,39.0,1.0
2017-12-27,36.0,1.0
2017-12-28,34.0,1.0
2017-12-29,36.0,1.0
2017-12-30,35.0,1.0
2017-12-31,31.0,1.0
2018-01-01,32.0,1.0
2018-01-02,33.0,1.0
2018-01-03,30.0,1.0
2018-01-04,31.0,1.0
2018-01-05,29.0,1.0
2018-01-06,32.0,1.0
2018-01-07,31.0,1.0
2018-01-08,28.0,1.0
2018-01-09,27.0,1.0
2018-01-10,28.0,1.0
2018-01-11,27.0,1.0
2018-01-12,27.0,1.0
2018-01-13,30.0,1.0
2018-01-14,30.0,1.0
2018-01-15,26.0,1.0
2018-01-16,25.0,1.0
2018-01-17,25.0,1.0
2018-01-18,25.0,1.0
2018-01-19,26.0,1.0
2018-01-20,28.0,1.0
2018-01-21,28.0,1.0
2018-01-22,26.0,1.0
2018-01-23,26.0,1.0
2018-01-24,24.0,1.0
2018-01-25,25.0,1.0
2018-01-26,25.0,1.0
2018-01-27,28.0,1.0
2018-01-28,28.0,1.0
2018-01-29,25.0,1.0
2018-01-30,24.0,1.0
2018-01-31,24.0,1.0
2018-02-01,24.0,1.0
2018-02-02,25.0,1.0
2018-02-03,28.0,1.0
2018-02-04,26.0,1.0
2018-02-05,24.0,1.0
2018-02-06,23.0,1.0
2018-02-07,24.0,1.0
2018-02-08,23.0,1.0
2018-02-09,24.0,1.0
2018-02-10,26.0,1.0
2018-02-11,28.0,1.0
2018-02-12,25.0,1.0
2018-02-13,24.0,1.0
2018-02-14,22.0,1.0
2018-02-15,24.0,1.0
2018-02-16,25.0,1.0
2018-02-17,28.0,1.0
2018-02-18,27.0,1.0
2018-02-19,24.0,1.0
2018-02-20,24.0,1.0
2018-02-21,25.0,1.0
2018-02-22,24.0,1.0
2018-02-23,25.0,1.0
2018-02-24,27.0,
2018-02-25,28.0,
2018-02-26,24.0,
2018-02-27,24.0,
2018-02-28,24.0,
2018-03-01,24.0,
2018-03-02,24.0,
2018-03-03,27.0,
2018-03-04,28.0,
2018-03-05,23.0,
2018-03-06,24.0,
2018-03-07,23.0,
2018-03-08,22.0,
2018-03-09,24.0,
2018-03-10,26.0,
2018-03-11,27.0,
2018-03-12,23.0,
2018-03-13,23.0,
2018-03-14,22.0,
2018-03-15,23.0,
2018-03-16,24.0,
2018-03-17,25.0,
2018-03-18,26.0,
2018-03-19,24.0,
2018-03-20,24.0,
2018-03-21,23.0,
2018-03-22,23.0,
2018-03-23,22.0,
2018-03-24,26.0,
2018-03-25,26.0,
2018-03-26,23.0,
2018-03-27,24.0,
2018-03-28,24.0,
2018-03-29,24.0,
2018-03-30,25.0,
2018-03-31,25.0,
2018-04-01,25.0,
2018-04-02,24.0,
2018-04-03,23.0,
2018-04-04,22.0,
2018-04-05,22.0,
2018-04-06,22.0,
2018-04-07,25.0,
2018-04-08,25.0,
2018-04-09,23.0,
2018-04-10,22.0,
2018-04-11,22.0,
2018-04-12,22.0,
2018-04-13,23.0,
2018-04-14,24.0,
2018-04-15,25.0,
2018-04-16,22.0,
2018-04-17,22.0,
2018-04-18,22.0,
2018-04-19,22.0,
2018-04-20,23.0,
2018-04-21,24.0,
2018-04-22,25.0,
2018-04-23,22.0,
2018-04-24,22.0,
2018-04-25,22.0,
2018-04-26,20.0,
2018-04-27,22.0,
2018-04-28,25.0,
2018-04-29,25.0,
2018-04-30,22.0,
2018-05-01,24.0,
2018-05-02,22.0,
2018-05-03,22.0,1.0
2018-05-04,22.0,1.0
2018-05-05,24.0,1.0
2018-05-06,25.0,1.0
2018-05-07,22.0,1.0
2018-05-08,22.0,1.0
2018-05-09,22.0,1.0
2018-05-10,22.0,1.0
2018-05-11,23.0,1.0
2018-05-12,24.0,1.0
2018-05-13,26.0,1.0
2018-05-14,23.0,1.0
2018-05-15,23.0,1.0
2018-05-16,22.0,1.0
2018-05-17,21.0,1.0
2018-05-18,22.0,1.0
2018-05-19,23.0,1.0
2018-05-20,25.0,1.0
2018-05-21,23.0,1.0
2018-05-22,22.0,1.0
2018-05-23,22.0,1.0
2018-05-24,22.0,1.0
2018-05-25,22.0,1.0
2018-05-26,24.0,1.0
2018-05-27,25.0,1.0
2018-05-28,23.0,1.0
2018-05-29,23.0,1.0
2018-05-30,22.0,1.0
2018-05-31,22.0,1.0
2018-06-01,23.0,1.0
2018-06-02,26.0,1.0
2018-06-03,25.0,1.0
2018-06-04,24.0,1.0
2018-06-05,24.0,1.0
2018-06-06,22.0,1.0
2018-06-07,23.0,1.0
2018-06-08,23.0,1.0
2018-06-09,25.0,1.0
2018-06-10,26.0,1.0
2018-06-11,24.0,1.0
2018-06-12,23.0,1.0
2018-06-13,23.0,1.0
2018-06-14,22.0,1.0
2018-06-15,23.0,1.0
2018-06-16,25.0,1.0
2018-06-17,25.0,1.0
2018-06-18,23.0,1.0
2018-06-19,23.0,1.0
2018-06-20,22.0,1.0
2018-06-21,22.0,1.0
2018-06-22,22.0,1.0
2018-06-23,24.0,1.0
